Hedging Portfolio
Simulated Stock Price,Option Prices,Delta Value,Hedging Error,Stock to Buy,Risk Free Rate Borrow
100.551,0.715211,0.229677,0.0470997,23.0943,-22.3791
101.523,0.889014,0.277146,-0.241168,28.1366,-27.2476
104.675,2.00109,0.494206,0.0945352,51.731,-49.7299
104.412,1.77173,0.471269,0.0689493,49.2063,-47.4346
105.348,2.1389,0.545826,0.106699,57.5016,-55.3627
105.555,2.13951,0.564647,0.0541032,59.601,-57.4615
104.389,1.42176,0.457117,-0.121756,47.7181,-46.2964
106.651,2.57257,0.675171,0.100128,72.0074,-69.4349
105.83,1.91151,0.603996,-0.13581,63.9209,-62.0094
108.039,3.37517,0.833515,-0.0749889,90.052,-86.6769
110.018,5.09093,0.96408,-0.000570941,106.066,-100.975
111.124,6.14834,0.996104,-0.000647405,110.691,-104.543
112.042,7.0529,0.999991,-8.91936e-06,112.041,-104.988
Cumulative Hedging Error,0.159341
